XPATH,Count
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:parameters/srv:SV_Parameter/srv:name/gco:aName/gco:CharacterString,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:parameters/srv:SV_Parameter/srv:name/gco:aName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:parameters/srv:SV_Parameter/srv:name/gco:attributeType/gco:TypeName/gco:aName/gco:CharacterString,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:parameters/srv:SV_Parameter/srv:name/gco:attributeType/gco:TypeName/gco:aName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:parameters/srv:SV_Parameter/srv:optionality/gco:CharacterString,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:parameters/srv:SV_Parameter/srv:optionality/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:parameters/srv:SV_Parameter/srv:repeatability/gco:Boolean,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:parameters/srv:SV_Parameter/srv:valueType/gco:TypeName/gco:aName/gco:CharacterString,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:parameters/srv:SV_Parameter/srv:valueType/gco:TypeName/gco:aName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:keywords/gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:keywords/gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,1
