XPATH,Count
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:deliveryPoint/gco:CharacterString,1088
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:deliveryPoint/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,7106
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,6987
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:hoursOfService/gco:CharacterString,1873
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:description/gco:CharacterString,987
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:description/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,958
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,4971
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:linkage/gmd:URL,6244
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:name/gco:CharacterString,973
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:name/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,926
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,4416
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/che:CHE_CI_Telephone/che:directNumber/gco:CharacterString,3181
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/che:CHE_CI_Telephone/che:mobile/gco:CharacterString,5
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/che:CHE_CI_Telephone/gmd:facsimile/gco:CharacterString,1414
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,6613
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,7093
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,5814
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:positionName/gco:CharacterString,3108
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:positionName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,3049
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,7109
gmd:contentInfo/che:CHE_MD_CoverageDescription/gmd:attributeDescription/gco:RecordType,28
gmd:contentInfo/che:CHE_MD_CoverageDescription/gmd:contentType/gmd:MD_CoverageContentTypeCode,28
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:type/gco:CharacterString,57
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:value/che:CHE_MD_CodeValue/che:code/gco:CharacterString,7
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:value/che:CHE_MD_CodeValue/che:description/gco:CharacterString,7
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:value/che:CHE_MD_CodeValue/che:name/gco:CharacterString,18
