#-----Metadata-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_Legislation/che:country/gmd:Country,1451,9.8,38
che:CHE_MD_Legislation/che:language/gmd:LanguageCode,996,6.8,35
che:CHE_MD_Legislation/che:legislationType/che:CHE_CI_LegislationCode,1274,8.6,37
che:CHE_MD_Legislation/che:internalReference/gco:CharacterString,1086,7.4,32

#-----Extent Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:EX_Extent/gmd:description/gco:CharacterString,11782,79.9,66
gmd:EX_Extent/gmd:geographicElement,13748,93.3,70
gmd:EX_Extent/gmd:temporalElement,503,3.4,8

gmd:EX_BoundingPolygon/gmd:extentTypeCode/gco:Boolean,3637,24.7,10
gmd:EX_BoundingPolygon/gmd:polygon,10908,74.0,64

gmd:EX_GeographicBoundingBox/gmd:westBoundLongitude/gco:Decimal,13383,90.8,69
gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal,13383,90.8,69
gmd:EX_GeographicBoundingBox/gmd:southBoundLatitude/gco:Decimal,13383,90.8,69
gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal,13383,90.8,69

gmd:EX_TemporalExtent/gmd:extent,497,3.4,7
gml:TimePeriod/gml:begin,6,0.0,3
gml:TimePeriod/gml:end,32,0.2,2

#-----Citation Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:CI_Citation/gmd:title/gco:CharacterString,13582,92.1,70
gmd:CI_Citation/gmd:alternateTitle/gco:CharacterString,6440,43.7,47
gmd:CI_Citation/gmd:date,11848,80.4,70
gmd:CI_Citation/gmd:edition/gco:CharacterString,71,0.5,13
gmd:CI_Citation/gmd:editionDate/gco:Date,31,0.2,10
gmd:CI_Citation/gmd:identifier,9265,62.9,64
gmd:CI_Citation/gmd:citedResponsibleParty,3851,26.1,22
gmd:CI_Citation/gmd:presentationForm,1188,8.1,16
gmd:CI_Citation/gmd:otherCitationDetails/gco:CharacterString,563,3.8,30
gmd:CI_Citation/gmd:collectiveTitle/gco:CharacterString,3969,26.9,33
gmd:CI_Citation/gmd:ISBN/gco:CharacterString,8,0.1,4
gmd:CI_Citation/gmd:ISSN/gco:CharacterString,4,0.0,3

gmd:CI_Date/gmd:date/gco:Date,11820,80.2,70
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,11832,80.3,70

#-----Responsible Party Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,13456,91.3,70
che:CHE_CI_ResponsibleParty/gmd:positionName/gco:CharacterString,4515,30.6,46
che:CHE_CI_ResponsibleParty/gmd:contactInfo,14609,99.1,71
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gco:CharacterString,7569,51.4,61
che:CHE_CI_ResponsibleParty/che:individualFirstName/gco:CharacterString,10237,69.5,67
che:CHE_CI_ResponsibleParty/che:individualLastName/gco:CharacterString,10879,73.8,66
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,14610,99.1,71

gmd:CI_Contact/gmd:hoursOfService/gco:CharacterString,3529,23.9,26
gmd:CI_Contact/gmd:contactInstructions/gco:CharacterString,15,0.1,4
gmd:CI_Contact/gmd:address,14609,99.1,71
gmd:CI_Contact/gmd:phone,13766,93.4,68
gmd:CI_Contact/gmd:onlineResource,13272,90.0,64

che:CHE_CI_Address/gmd:city/gco:CharacterString,13349,90.6,69
che:CHE_CI_Address/gmd:administrativeArea/gco:CharacterString,1286,8.7,22
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,13250,89.9,69
che:CHE_CI_Address/gmd:country/gco:CharacterString,11896,80.7,64
che:CHE_CI_Address/che:streetName/gco:CharacterString,12658,85.9,69
che:CHE_CI_Address/che:streetNumber/gco:CharacterString,11372,77.2,66
che:CHE_CI_Address/che:addressLine/gco:CharacterString,1059,7.2,22
